#
# ROI IR statistics timeseries for blackrockforest
#
# Site: blackrockforest
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 41.3974
# Lon: -74.0239
# Elev: 427
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2020-07-24
# Creation Time: 11:53:06
# Update Date: 2020-07-27
# Update Time: 08:27:46
#
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,ir_mean,ir_std,ir_5_qtl,ir_10_qtl,ir_25_qtl,ir_50_qtl,ir_75_qtl,ir_90_qtl,ir_95_qtl
2020-06-01,10:18:05,153,blackrockforest_IR_2020_06_01_101805.jpg,62.16145,9,0,1,117.32160,52.39067,33,53,82,114,151,188,211
2020-06-01,10:48:05,153,blackrockforest_IR_2020_06_01_104805.jpg,66.30552,16,0,1,98.42729,38.38480,31,47,73,101,125,146,159
2020-06-01,11:18:05,153,blackrockforest_IR_2020_06_01_111805.jpg,69.34913,12,0,1,84.10661,34.51195,22,38,62,86,107,127,140
2020-06-01,11:48:06,153,blackrockforest_IR_2020_06_01_114806.jpg,70.74533,8,0,1,117.99615,49.74556,37,55,84,116,152,184,203
2020-06-01,12:18:05,153,blackrockforest_IR_2020_06_01_121805.jpg,70.13603,20,0,1,97.36387,37.94436,29,46,73,100,124,144,156
2020-06-01,12:48:05,153,blackrockforest_IR_2020_06_01_124805.jpg,67.68828,8,0,1,122.43236,50.19495,41,60,88,121,157,189,208
2020-06-01,13:18:05,153,blackrockforest_IR_2020_06_01_131805.jpg,63.92448,8,0,1,121.54212,49.97938,41,59,87,120,156,188,207
2020-06-01,13:48:05,153,blackrockforest_IR_2020_06_01_134805.jpg,59.34066,8,0,1,107.59223,47.94060,29,47,74,106,140,171,189
2020-06-01,14:18:05,153,blackrockforest_IR_2020_06_01_141805.jpg,54.27031,8,0,1,109.94893,46.34130,35,52,78,108,141,171,189
2020-06-01,14:48:05,153,blackrockforest_IR_2020_06_01_144805.jpg,48.91597,12,0,1,58.08745,31.90097,10,19,37,55,75,99,116
2020-06-01,15:18:05,153,blackrockforest_IR_2020_06_01_151805.jpg,43.40160,34,0,1,94.19278,37.45025,26,43,70,97,121,140,152
2020-06-01,15:48:05,153,blackrockforest_IR_2020_06_01_154805.jpg,37.80745,12,0,1,108.69536,49.10216,33,50,75,104,140,175,197
2020-06-01,16:18:05,153,blackrockforest_IR_2020_06_01_161805.jpg,32.18996,30,0,1,97.71912,38.09603,29,46,73,101,124,144,156
2020-06-01,16:48:05,153,blackrockforest_IR_2020_06_01_164805.jpg,26.59295,100,0,1,93.83071,37.88067,26,42,69,96,120,141,153
2020-06-01,17:18:06,153,blackrockforest_IR_2020_06_01_171806.jpg,21.05131,38,0,1,90.66162,37.05493,22,40,67,93,116,136,147
2020-06-01,17:48:05,153,blackrockforest_IR_2020_06_01_174805.jpg,15.61129,43,0,1,86.78870,35.54135,21,37,64,90,112,130,141
